%   time (s) 	    East (m)	     North (m)	   Psi (rad)	    gyro (rad/s)   radar (m/s)
%--------------------------------------------------------------------------------------------------
   1.9400000e+01  -1.0644464e+02   5.3670332e+01   4.7390880e+00   6.2894000e-02   2.1199200e+00
   1.9600000e+01  -1.0689465e+02   5.3725858e+01   4.7429350e+00   4.2640000e-02   2.1806400e+00
   1.9800000e+01  -1.0732309e+02   5.3739954e+01   4.7412250e+00   3.5178000e-02   2.1410400e+00
   2.0000000e+01  -1.0776373e+02   5.3760752e+01   4.7359650e+00   1.1726000e-02   2.1067200e+00
   2.0200000e+01  -1.0821372e+02   5.3764823e+01   4.7324420e+00   1.9188000e-02   2.0856000e+00
   2.0400000e+01  -1.0865254e+02   5.3747797e+01   4.7226930e+00   3.0914000e-02   2.0328000e+00
   2.0600000e+01  -1.0908748e+02   5.3748406e+01   4.7236160e+00   5.3300000e-03   2.1146400e+00
   2.0800000e+01  -1.0953686e+02   5.3743792e+01   4.7108570e+00   1.2792000e-02   2.1595200e+00
   2.1000000e+01  -1.0997905e+02   5.3736008e+01   4.7073410e+00   3.1980000e-03   2.1357600e+00
   2.1200000e+01  -1.1042776e+02   5.3727111e+01   4.6938750e+00   9.5940000e-03   2.1014400e+00
   2.1400000e+01  -1.1086486e+02   5.3706008e+01   4.6900050e+00   2.4518000e-02   2.0908800e+00
   2.1600000e+01  -1.1130156e+02   5.3690642e+01   4.6854970e+00   3.1980000e-02   2.1067200e+00
   2.1800000e+01  -1.1173255e+02   5.3680964e+01   4.6825580e+00   3.9442000e-02   2.0908800e+00
   2.2000000e+01  -1.1217815e+02   5.3680309e+01   4.6815980e+00   3.6244000e-02   2.1120000e+00
   2.2200000e+01  -1.1262512e+02   5.3680268e+01   4.6836320e+00   4.7970000e-02   2.1278400e+00
   2.2400000e+01  -1.1307109e+02   5.3670268e+01   4.6840140e+00   6.5026000e-02   2.0829600e+00
   2.2600000e+01  -1.1351003e+02   5.3678073e+01   4.6904540e+00   6.9290000e-02   2.1146400e+00
   2.2800000e+01  -1.1395093e+02   5.3655602e+01   4.6927550e+00   9.9138000e-02   2.1331200e+00
   2.3000000e+01  -1.1438897e+02   5.3652101e+01   4.7015950e+00   7.8884000e-02   2.1436800e+00
   2.3200000e+01  -1.1482367e+02   5.3653469e+01   4.7100000e+00   8.2082000e-02   2.1225600e+00
   2.3400000e+01  -1.1526975e+02   5.3645651e+01   4.7157090e+00   7.1422000e-02   2.1516000e+00
   2.3600000e+01  -1.1572837e+02   5.3683933e+01   4.7198350e+00   8.6346000e-02   2.1753600e+00
   2.3800000e+01  -1.1616687e+02   5.3696683e+01   4.7250570e+00   9.3808000e-02   2.1568800e+00
   2.4000000e+01  -1.1660027e+02   5.3715379e+01   4.7274300e+00   5.8630000e-02   2.1674400e+00
   2.4200000e+01  -1.1703485e+02   5.3731106e+01   4.7303750e+00   7.4620000e-03   2.1278400e+00
   2.4400000e+01  -1.1745388e+02   5.3736326e+01   4.7227450e+00   3.0914000e-02   2.1331200e+00
   2.4600000e+01  -1.1788682e+02   5.3732233e+01   4.7176810e+00   1.0660000e-02   2.1146400e+00
   2.4800000e+01  -1.1834611e+02   5.3730792e+01   4.7155050e+00   3.1980000e-03   2.1357600e+00
   2.5000000e+01  -1.1879720e+02   5.3730702e+01   4.7068390e+00   0.0000000e+00   2.1252000e+00
   2.5200000e+01  -1.1924875e+02   5.3730242e+01   4.6970440e+00   9.5940000e-03   2.1331200e+00
   2.5400000e+01  -1.1968708e+02   5.3735564e+01   4.6931370e+00   2.1320000e-02   2.0856000e+00
   2.5600000e+01  -1.2014164e+02   5.3717828e+01   4.6910860e+00   3.1980000e-02   2.1463200e+00
   2.5800000e+01  -1.2058227e+02   5.3714294e+01   4.6890610e+00   4.0508000e-02   2.1674400e+00
   2.6000000e+01  -1.2099226e+02   5.3708473e+01   4.6900530e+00   5.0102000e-02   2.1568800e+00
   2.6200000e+01  -1.2141187e+02   5.3706564e+01   4.6921880e+00   5.9696000e-02   2.1225600e+00
   2.6400000e+01  -1.2184762e+02   5.3699227e+01   4.6994290e+00   5.0102000e-02   2.1146400e+00
   2.6600000e+01  -1.2228509e+02   5.3710082e+01   4.7035370e+00   7.4620000e-02   2.1753600e+00
   2.6800000e+01  -1.2274819e+02   5.3735159e+01   4.7031370e+00   8.4214000e-02   2.1436800e+00
   2.7000000e+01  -1.2318897e+02   5.3736526e+01   4.7081630e+00   8.7412000e-02   2.1014400e+00
   2.7200000e+01  -1.2361980e+02   5.3733021e+01   4.7153230e+00   6.6092000e-02   2.0935200e+00
   2.7400000e+01  -1.2406489e+02   5.3727991e+01   4.7258260e+00   4.1574000e-02   2.1278400e+00
   2.7600000e+01  -1.2451322e+02   5.3744626e+01   4.7189060e+00   2.8782000e-02   2.1436800e+00
